Calibration_Linear,Calibration_ToF,Run1_Linear,Run1_ToF,Run2_Linear,Run2_ToF
,,583,94,631,101
,,583,100,631,103
,,583,95,630,99
,,583,95,628,97
,,583,98,627,101
,,583,96,627,101
,,583,98,627,101
,,583,101,627,102
,,583,97,627,101
,,583,95,627,100
,,584,95,626,97
,,584,92,626,99
,,584,97,626,100
,,584,95,626,101
,,584,96,626,100
,,583,99,626,99
,,583,94,626,101
,,583,95,626,99
,,583,97,626,98
,,584,100,626,99
,,584,99,626,99
,,584,98,626,99
,,585,95,626,101
,,584,93,626,98
,,584,98,626,99
,,584,94,626,97
,,584,92,626,101
,,584,95,626,101
,,584,96,626,97
,,584,96,626,101
,,584,94,626,101
,,583,94,626,100
,,583,95,626,101
,,583,94,626,102
,,583,98,626,99
,,583,99,626,101
,,583,99,626,104
,,583,98,626,100
,,582,97,626,98
,,582,96,626,97
,,581,93,626,100
,,582,92,626,101
,,582,94,626,100
,,582,93,626,99
,,582,97,626,102
,,582,97,626,102
,,582,97,626,98
,,581,96,626,99
,,581,94,626,99
,,581,94,626,98
,,581,93,626,98
,,581,95,626,98
,,581,95,626,100
,,581,94,626,99
,,580,95,626,98
,,580,96,626,101
,,580,97,626,97
,,580,99,626,99
,,579,97,626,100
,,579,95,626,99
,,580,96,626,100
,,580,95,626,101
,,580,95,626,100
,,581,94,626,102
,,580,96,626,98
,,580,94,626,102
,,580,94,625,98
,,580,97,626,98
,,580,94,626,101
,,580,94,625,101
,,579,94,626,97
,,579,97,626,100
,,580,97,626,101
,,580,97,626,101
,,580,97,626,99
,,579,97,626,100
,,579,94,626,100
,,579,95,625,101
,,579,95,625,101
,,578,94,626,100
,,577,97,625,102
,,576,97,626,100
,,571,96,625,100
,,566,97,625,98
,,564,93,625,97
,,562,95,625,100
,,561,95,625,98
,,560,94,625,97
,,560,92,626,100
,,561,93,625,99
,,561,94,625,98
,,560,94,625,102
,,562,95,626,100
,,561,96,626,100
,,561,97,626,100
,,561,95,625,100
,,561,92,625,99
,,561,94,626,100
,,561,95,626,102
,,561,94,626,100
,,561,94,625,100
,,561,94,625,102
,,561,94,625,100
,,560,93,625,101
,,561,96,625,99
,,561,94,625,98
,,559,93,625,99
,,560,93,625,98
,,560,95,625,99
,,561,93,623,102
,,561,94,622,101
,,561,94,621,99
,,561,92,621,97
,,561,94,620,102
,,561,96,620,99
,,562,96,620,98
,,562,93,620,100
,,563,92,620,100
,,563,93,620,98
,,562,96,620,98
,,563,95,620,100
,,563,93,620,102
,,563,94,620,98
,,563,96,620,98
,,563,94,619,102
,,566,95,620,103
,,568,95,619,98
,,568,95,619,105
,,569,93,619,102
,,569,95,619,100
,,569,95,618,100
,,570,96,618,99
,,568,94,618,99
,,568,93,617,99
,,567,94,617,100
,,568,94,617,101
,,568,92,617,102
,,568,95,617,99
,,569,96,616,100
,,569,97,614,99
,,569,100,613,98
,,569,96,611,100
,,569,91,610,97
,,569,94,609,99
,,565,95,609,104
,,568,95,608,102
,,563,94,608,102
,,564,95,608,98
,,566,95,608,98
,,565,93,608,97
,,567,95,608,98
,,567,94,608,96
,,567,96,607,95
,,566,95,606,100
,,563,97,604,100
,,566,94,603,100
,,567,98,603,97
,,563,93,603,99
,,563,94,603,99
,,565,99,603,97
,,564,97,603,99
,,564,100,602,98
,,564,103,602,98
,,564,100,602,98
,,564,94,602,96
,,565,100,602,95
,,563,103,602,98
,,564,104,603,98
,,566,98,603,97
,,564,98,602,102
,,565,96,602,102
,,567,100,602,97
,,563,102,601,100
,,563,99,601,101
,,566,102,601,98
,,565,98,601,99
,,567,98,600,99
,,566,103,599,100
,,565,104,598,103
,,566,101,597,99
,,563,99,596,102
,,566,98,593,103
,,565,106,593,99
,,563,100,592,100
,,567,94,592,97
,,564,99,591,98
,,563,108,591,97
,,565,102,591,96
,,565,104,591,98
,,564,98,591,99
,,565,95,592,98
,,563,107,591,97
,,565,102,592,96
,,564,100,592,96
,,565,106,592,98
,,565,99,592,99
,,563,97,592,100
,,563,106,592,101
,,565,110,591,99
,,564,105,592,98
,,566,94,592,100
,,566,98,592,99
,,567,100,592,100
,,567,100,592,99
,,566,96,592,99
,,568,96,592,99
,,568,99,591,95
,,567,98,591,97
,,565,101,591,98
,,567,104,592,98
,,567,100,591,96
,,566,98,591,98
,,568,109,591,99
,,569,106,591,99
,,566,105,591,99
,,567,98,589,98
,,565,103,589,98
,,565,103,589,96
,,566,101,589,98
,,566,103,589,96
,,568,98,589,98
,,567,98,589,95
,,568,104,590,95
,,567,103,590,97
,,567,100,589,98
,,569,104,589,97
,,568,99,589,97
,,568,94,589,97
,,568,101,590,98
,,567,104,589,96
,,566,100,590,96
,,566,102,590,98
,,568,104,590,96
,,564,101,590,97
,,565,102,590,97
,,564,107,590,96
,,564,103,591,97
,,564,102,591,99
,,562,102,592,98
,,565,98,593,98
,,562,100,592,100
,,563,102,592,95
,,562,97,592,94
,,561,102,592,102
,,563,108,592,96
,,562,103,592,99
,,564,96,592,98
,,565,94,592,98
,,565,102,591,98
,,566,102,591,97
,,563,99,591,99
,,565,99,591,98
,,562,104,591,96
,,563,104,591,98
,,563,94,591,97
