Time,Speed,Long,Lat,Accelx,Accely,Accelz
1:07:34,55.99,152.9671326,-27.22645187,3.69,-15.28,-7.8
1:07:35,50.21,152.9669952,-27.22649002,-1.43,7.64,-11.66
1:07:36,50.93,152.9668579,-27.22653198,-1.13,-3.46,-7.51
1:07:37,56.1,152.9667206,-27.22657585,2.34,-15.13,-14.38
1:07:38,49.86,152.966629,-27.22665977,2.34,-6.34,-10.66
1:07:39,44.17,152.9665985,-27.22676849,3.69,9.8,-5.22
1:07:40,47.78,152.9666138,-27.22688484,4.3,10.66,-4.36
1:07:41,43.8,152.9665527,-27.22698402,-2.79,10.66,-6.8
1:07:42,42.1,152.9664612,-27.22701836,1.58,-5.48,-8.66
1:07:43,53.08,152.9663239,-27.22699738,-0.68,-9.22,-16.52
1:07:44,54.1,152.9661713,-27.22702789,-5.05,-5.91,-12.52
1:07:45,49.6,152.966095,-27.22712135,-4,-1.44,-9.8
1:07:46,47.15,152.9659882,-27.22720528,7.31,16.43,-7.94
1:07:47,40.95,152.9658661,-27.22721672,-6.86,0.43,-10.94
1:07:48,47.1,152.9657745,-27.22715187,-2.49,7.64,-5.36
1:07:49,47.43,152.9657135,-27.22705078,-5.5,-3.89,-14.81
1:07:50,47.47,152.9656372,-27.22696495,-0.53,7.93,-11.95
1:07:51,48.71,152.9655457,-27.22686386,5.65,13.4,-0.36
1:07:52,50.12,152.9655457,-27.2267437,-0.23,1.87,-4.79
1:07:53,55.67,152.9656372,-27.22662354,-3.54,-0.72,-11.8
1:07:54,65.02,152.965744,-27.22650719,-3.24,7.93,-9.37
1:07:55,65.13,152.9658813,-27.2264061,-11.08,-8.5,-7.37
1:07:56,53.91,152.9660187,-27.22632408,3.39,2.45,-8.51
1:07:57,49.63,152.9661407,-27.22628403,-5.2,-3.03,-11.52
1:07:58,58.95,152.9662933,-27.2262249,4.45,4.04,-8.8
1:07:59,60.62,152.9664307,-27.22613907,2.19,8.79,-9.51
1:08:00,49.08,152.9665222,-27.2260437,-6.71,-0.86,-8.8
1:08:01,51.17,152.9666443,-27.22598076,-2.19,3.17,-12.52
1:08:02,63.06,152.9667816,-27.22590828,11.38,-7.06,-6.08
1:08:03,60.93,152.9669495,-27.22586441,2.79,-3.31,-6.94
1:08:04,46.11,152.9670868,-27.2258873,2.49,-0.14,-10.37
1:08:05,45.3,152.9671783,-27.22595978,5.5,-1.73,-4.94
1:08:06,51.04,152.9672852,-27.22603607,5.5,-3.89,-10.8
1:08:07,61.82,152.9673767,-27.22615433,7.76,13.11,-5.51
1:08:08,43.89,152.9674377,-27.22626114,7.16,9.22,-5.51
1:08:09,32.5,152.9674072,-27.22635078,1.58,5.04,-12.38
1:08:10,45.26,152.9673004,-27.22641563,-0.23,5.33,-4.08
1:08:11,54.54,152.9671478,-27.22644424,3.24,-13.69,-7.08
1:08:12,56.26,152.9670105,-27.2264843,4.9,7.35,-3.22
1:08:13,55.71,152.9668427,-27.22652817,-5.35,-3.46,-5.36
1:08:14,57.26,152.9667053,-27.22657585,-0.53,-5.04,-9.8
1:08:15,46.37,152.9666138,-27.2266674,-5.8,-5.76,-13.66
1:08:16,41.17,152.9665985,-27.22676849,5.96,10.09,-6.94
1:08:17,47.95,152.9666138,-27.22688484,1.28,14.7,-13.38
1:08:18,44.08,152.9665375,-27.22698021,-4.15,11.39,-6.94
1:08:19,46.04,152.9664307,-27.22699928,-2.64,-3.17,-13.23
1:08:20,54.06,152.9662781,-27.22698975,-4.15,-6.63,-11.23
1:08:21,54.49,152.9661255,-27.22703552,4.6,-5.04,-8.8
1:08:22,49.87,152.9660492,-27.2271328,0.23,6.77,-12.09
1:08:23,44.17,152.9659576,-27.22720718,5.8,1.73,-11.52
1:08:24,39.93,152.9658356,-27.22721291,0.23,8.21,-7.22
1:08:25,43.97,152.9657593,-27.22714806,1.58,10.52,-7.94
1:08:26,48.08,152.9656982,-27.22704315,-4.75,-4.18,-7.08
1:08:27,51.47,152.9656067,-27.2269516,4.45,7.78,-9.23
1:08:28,53.19,152.9655304,-27.22684288,-3.69,4.47,-10.23
1:08:29,53.89,152.9655457,-27.22670937,1.13,3.89,-11.09
1:08:30,60.91,152.9656372,-27.22657967,0.68,6.05,-6.8
1:08:31,66.3,152.9657593,-27.22646141,8.67,-0.58,-10.09
1:08:32,65.73,152.9658966,-27.22636223,-3.54,3.46,-12.38
1:08:33,53.26,152.9660492,-27.22629166,-5.96,-9.08,-13.52
1:08:34,53.93,152.9661865,-27.22624397,-5.8,3.6,-4.51
1:08:35,62.12,152.9663391,-27.22616768,8.37,-14.7,-6.94
1:08:36,55.3,152.9664612,-27.22607613,3.24,1.44,-6.8
1:08:37,51.67,152.9665833,-27.2259922,-0.08,1.44,-13.09
1:08:38,60.82,152.9667053,-27.22591972,3.84,4.18,-3.22
1:08:39,66.13,152.9668732,-27.22585678,3.09,3.31,-7.51
1:08:40,54.52,152.9670258,-27.22584343,9.88,7.21,-12.52
1:08:41,44.28,152.9671326,-27.22590256,-1.58,-10.52,-12.09
1:08:42,48.23,152.9672546,-27.2259655,-6.71,-0.14,-6.37
1:08:43,54.75,152.9673462,-27.22606659,2.19,5.91,-2.79
1:08:44,58.38,152.9674225,-27.22619438,1.88,-1.44,-8.08
1:08:45,43.61,152.9674225,-27.22631073,2.94,4.76,-2.79
1:08:46,47.69,152.9673309,-27.22639465,0.23,2.02,-12.95
1:08:47,54.28,152.9671936,-27.22644424,-5.96,-3.89,-8.66
1:08:48,53.43,152.967041,-27.22646713,-3.24,0.29,-11.09
1:08:49,53.36,152.9669189,-27.22652245,-5.5,0,-12.09
1:08:50,54.99,152.9667664,-27.22656631,-1.73,-2.88,-6.8
1:08:51,50.3,152.9666443,-27.22663689,-5.96,-8.36,-12.09
1:08:52,46.69,152.9665833,-27.22673607,-3.24,-5.04,-11.09
1:08:53,44.02,152.9666138,-27.22683907,2.34,14.27,-4.94
1:08:54,46.11,152.9665833,-27.22694778,2.34,10.52,-11.52
1:08:55,45.39,152.9664917,-27.2270298,-2.94,6.34,-15.95
1:08:56,55.71,152.9663696,-27.22709846,-0.53,-15.13,-13.38
1:08:57,57.1,152.9662018,-27.22702026,2.64,-8.94,-11.37
1:08:58,41.56,152.966095,-27.22707558,3.39,4.9,-9.51
1:08:59,41.47,152.9660339,-27.2271595,-1.58,9.94,-10.09
1:09:00,40.52,152.9659424,-27.22720718,0.08,12.83,-8.94
1:09:01,42.48,152.9658203,-27.22717476,0.53,3.17,-8.37
1:09:02,44.74,152.9657593,-27.22709274,2.49,-3.46,-7.51
1:09:03,37.87,152.9656982,-27.2270031,1.58,-2.31,-9.66
1:09:04,35.3,152.9656219,-27.22694778,-0.68,4.04,-9.08
1:09:05,32.41,152.9655457,-27.22689438,10.48,-4.61,-4.51
1:09:06,30.15,152.9654999,-27.22683334,-6.26,-3.31,-18.38
1:09:07,25.02,152.9654541,-27.22677612,1.43,0.43,-11.23
1:09:08,22.54,152.9654388,-27.22672272,-1.28,-3.03,-9.23
1:09:09,19.22,152.9654236,-27.22667122,1.43,-0.72,-9.66
1:09:10,14.96,152.9654236,-27.22662735,0.68,-0.14,-10.37
1:09:11,9.72,152.9654236,-27.22660065,2.19,-1.15,-9.94
1:09:12,4.83,152.9654236,-27.22658348,0.38,-0.72,-10.23
1:09:13,0.26,152.9654236,-27.22658348,0.08,-0.29,-10.09
1:09:14,0.04,152.9654236,-27.22658348,0.23,-0.29,-10.09
1:09:15,0.57,152.9654236,-27.22658348,0.08,-0.29,-10.09
1:09:16,0.13,152.9654236,-27.22658348,0.08,-0.29,-10.09
1:09:17,0.52,152.9654236,-27.22658539,0.08,-0.29,-10.09
1:09:18,0.24,152.9654236,-27.22658539,0.08,-0.29,-10.09
1:09:19,0.22,152.9654236,-27.22658539,0.08,-0.29,-10.09
1:09:20,0.33,152.9654236,-27.22658539,0.08,-0.29,-10.09
1:09:21,0.52,152.9654236,-27.2265873,0.08,-0.29,-10.09
1:09:22,0.26,152.9654236,-27.2265873,0.23,-0.29,-10.09
1:09:23,0.13,152.9654236,-27.2265873,0.08,-0.29,-10.09
1:09:24,0.3,152.9654236,-27.22658539,0.08,-0.29,-10.09
1:09:25,0.3,152.9654236,-27.22658539,0.08,-0.43,-10.23
1:09:26,0.31,152.9654236,-27.2265873,0.08,-0.43,-10.09
1:09:27,0.5,152.9654236,-27.2265892,0.08,-0.29,-10.09
1:09:28,0.04,152.9654236,-27.22659111,0.08,-0.43,-10.09
1:09:29,0.2,152.9654236,-27.22659492,0.08,-0.43,-10.09
1:09:30,0.24,152.9654236,-27.22659683,0.08,-0.29,-10.09
1:09:31,0.39,152.9654236,-27.22659683,0.23,-0.29,-10.09
1:09:32,0.54,152.9654236,-27.22659874,0.23,-0.29,-10.09
1:09:33,0.44,152.9654083,-27.22660065,0.08,-0.43,-10.09
1:09:34,0.19,152.9654083,-27.22660065,0.08,-0.29,-10.09
1:09:35,0.43,152.9654083,-27.22660065,0.23,-0.43,-10.09
1:09:36,0.17,152.9654083,-27.22660065,0.08,-0.29,-10.23
1:09:37,0.3,152.9654083,-27.22659683,0.08,-0.43,-10.09
1:09:38,0.19,152.9654083,-27.22659683,0.23,-0.58,-9.94
